timestamp,team,player,event_type,x,y,end_x,end_y,foot,to_player,outcome,pass_type,body_part,xg,card,set_piece_type,action,tackled_player,fouled_player,gk_action_type
0.0,Arsenal,Odegaard,set_piece,52.5,34.0,55.0,34.0,right,Saka,success,short,,,,,,,kick_off,
2.0,Arsenal,Saka,touch,55.0,34.0,,,,,,,,,,,,,,
4.0,Arsenal,Saka,pass,55.0,34.0,65.0,20.0,right,Rice,success,short,,,,,,,,
7.0,Arsenal,Rice,touch,65.0,20.0,,,,,,,,,,,,,,
9.0,Arsenal,Rice,pass,65.0,20.0,72.0,34.0,right,Odegaard,success,short,,,,,,,,
12.0,Arsenal,Odegaard,touch,72.0,34.0,,,,,,,,,,,,,,
14.0,Arsenal,Odegaard,pass,72.0,34.0,85.0,28.0,left,Martinelli,success,through,,,,,,,,
17.0,Arsenal,Martinelli,touch,85.0,28.0,,,,,,,,,,,,,,
19.0,Arsenal,Martinelli,dribble,85.0,28.0,90.0,25.0,left,,,,,,,,,,,
22.0,Chelsea,Caicedo,tackle,90.0,25.0,,,,,won,,,,,,Martinelli,,
25.0,Chelsea,Caicedo,pass,90.0,25.0,75.0,40.0,right,Palmer,success,long,,,,,,,,
28.0,Chelsea,Palmer,touch,75.0,40.0,,,,,,,,,,,,,,
30.0,Chelsea,Palmer,dribble,75.0,40.0,70.0,44.0,right,,,won,,,,,,,
33.0,Chelsea,Palmer,pass,70.0,44.0,60.0,55.0,right,Mudryk,success,short,,,,,,,,
36.0,Chelsea,Mudryk,touch,60.0,55.0,,,,,,,,,,,,,,
38.0,Chelsea,Mudryk,dribble,60.0,55.0,50.0,58.0,left,,,,,,,,,,
40.0,Arsenal,Saliba,tackle,50.0,58.0,,,,,won,,,,,,Mudryk,,
43.0,Arsenal,Saliba,pass,50.0,58.0,45.0,34.0,right,Rice,success,short,,,,,,,,
46.0,Arsenal,Rice,pass,45.0,34.0,60.0,15.0,right,White,success,long,,,,,,,,
49.0,Arsenal,White,touch,60.0,15.0,,,,,,,,,,,,,,
51.0,Arsenal,White,pass,60.0,15.0,75.0,10.0,right,Saka,success,short,,,,,,,,
54.0,Arsenal,Saka,touch,75.0,10.0,,,,,,,,,,,,,,
56.0,Arsenal,Saka,dribble,75.0,10.0,82.0,12.0,right,,,won,,,,,,,
58.0,Arsenal,Saka,pass,82.0,12.0,90.0,30.0,right,Havertz,success,cross,,,,,,,,
60.0,Arsenal,Havertz,header,90.0,30.0,105.0,35.0,,,,,,0.15,,shot,,,
62.0,Chelsea,Sanchez,goalkeeper_action,104.0,34.0,30.0,34.0,right,,saved,,,,,,,,save
